EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Meat Cove NS,8/21/2010 12:00:00 AM,"Meat Cove NS, August 21-22, 2010.  A flash flood struck the small community of Meat Cove early in the morning on August 22. The five local bridges suffered major damages, including two bridges that were completely washed away. Local roads were flooded and sustained damages, including the major road that connects the small fishing community to the rest of the province, which resulted in 100 residences and 26 tourists being isolated by the flood. Environment Canada reported 69.8 mm of rain in the area. Officials from the Emergency Management Office worked with the RCMP, Emergency Health Services, the Canadian Red Cross, and others to provide emergency services to the affected people. Access to the area was restricted to boats until August 30 when a temporary bridge over Salmon River was completed.",0,0,126,3135000,161459.2,8/22/2010 12:00:00 AM,3135000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta and Saskatchewan,6/17/2010 12:00:00 AM,"Southern Alberta and Saskatchewan, June 17, 2010. Record rainfall resulted in extensive flooding in Alberta and Saskatchewan, washing out a portion of the Trans-Canada highway and shutting down part of the Canadian Pacific rail line. Fourty people from the Blood Tribe reserve, 75 homes in Maple Creek, and 600 households in Medicine Hat were forced to evacuate. Disaster financial assistance was provided by both provinces.",0,0,2065,1031670000,53133218.9,6/17/2010 12:00:00 AM,75320000,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,5/28/2010 12:00:00 AM,"Winnipeg MB, May 29, 2010. Heavy rains over the course of a week caused significant flooding in Winnipeg and the surrounding area. Out of the 180,000 residential properties in Winnipeg, 619 reported being flooded. As a result, 420 were damaged by overland flooding, while 199 suffered sewage backups. The province offered disaster financial assistance for the flood event alongside other events which occurred over the spring and summer.",0,0,0,7731772,398202.8,5/30/2010 12:00:00 AM,6021772,,1710000,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Duncan and North Cowichan (Vancouver Island) BC,11/20/2009 12:00:00 AM,"Duncan and North Cowichan (Vancouver Island) BC, November 20, 2009. Flooding caused by heavy rains and high tides resulted in the destruction of approximately 50 homes and the evacuation of a total of approximately 300 homes (900 individuals). The storm also caused power outages affecting thousands of homes on Vancouver Island, in the Fraser Valley and within the BC interior.",,,900,0,0,11/20/2009 12:00:00 AM,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Notre-Dame-des-Prairies QC,6/28/2009 12:00:00 AM,"Notre-Dame-des-Prairies QC, June 28 to July 4, 2009. A quasi-stationary low-pressure system stalled over eastern Ontario and Quebec. Excessive rains of up to 140 mm damaged roads and bridges, and flooded basements.  The hardest hit areas were in Charlevoix, Mauricie and Parent. Flood waters filled 50 houses in Notre-Dame-des-Prairies on July 1, and collapsed a street in Entrelacs when a stream overflowed. The flow rate on several rivers exceeded historic records.",0,0,0,0,0,7/4/2009 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Rock Creek and Henderson Corner YT,5/1/2009 12:00:00 AM,"Rock Creek and Henderson Corner YT, May 1, 2009.  Overland flooding from May 1 to May 3 affected the unincorporated areas of Rock Creek and Henderson Corner in the Klondike Valley, resulting in the evacuation of 28 people and damage to both private property and public infrastructure, such as roads and recreational facilities.",0,0,28,459130,24080.2,5/1/2009 12:00:00 AM,59130,400000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Saint John, Miramichi and Restigouche River NB",4/5/2009 12:00:00 AM,"Saint John, Miramichi and Restigouche River NB, April 5 to May 4, 2009. A freshet in spring 2009 caused flooding in a number of communities, primarily from the formation of ice jams which raised water levels along the Saint John, Miramichi, and Restigouche rivers from April 5 to May 4.  The flooding caused damages to homes, businesses and infrastructure such as roadways.  Preliminary eligible costs are estimated at $2.0 million, which would result in a federal share of approximately $626,000.",0,0,0,2000000,104895.1,5/4/2009 12:00:00 AM,626000,1374000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB",3/24/2009 12:00:00 AM,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB, March 24 to May 21, 2009. Overland flooding caused by a combination of snowmelt, seasonal precipitation and the spring breakup affected southern Manitoba's watershed areas of the Red, Pembina, Assiniboine, and Souris Rivers. The event caused flooding of houses and evacuations from communities including Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk. The flooding also resulted in damage to public infrastructure such as bridges, roads, and highways. Three principal factors led to the spring flooding: 1) Heavy autumn rains, about 43 per cent more than normal, saturated the ground just before freezing in early December, which left little room for absorbing snow melt in the spring; 2) It was a snowy winter in southern Manitoba with some 25 per cent more snowfall than normal. Heavy snowfalls and copious spring rains swelled the critical headwaters of North Dakota sending excessive waters north into Canada via the Red River and its tributaries; and, 3) An unseasonably cold spring slowed basin snow melting, ice decaying in rivers, and overland flow from ditches and culverts.",0,0,3000,76506000,4012552.4,5/21/2009 12:00:00 AM,70006000,6500000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Pangnirtung NU,6/8/2008 12:00:00 AM,"Pangnirtung NU, June 8-9, 2008. Accelerated snowmelt and heavy rains created a massive flood that prompted the community of Pangnirtung to declare a state of emergency. Floodwaters resulted in the erosion of the permafrost, which supported the bridge abutments on the Duval River. The soil erosion caused sinkholes to form which damaged two bridges. Flooding caused the closure of many roads and disrupted residential water services.",0,0,0,4507509,237029.4,6/9/2008 12:00:00 AM,4507509,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,5/30/2008 12:00:00 AM,"Saint John River NB, April 30, 2008. Flooding along the Saint John River caused as many as 1000 people to evacuate their homes.",0,0,1000,21000000,1104294.5,5/30/2008 12:00:00 AM,21000000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,High River AB,5/24/2008 12:00:00 AM,"High River AB, May 24, 2008. Surging water levels on the Highwood River forced the town of High River to declare a state of local emergency.",0,0,0,0,0,5/24/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,James Bay ON,5/9/2008 12:00:00 AM,"James Bay ON, May 9, 2008. A serious flood risk forced about 1,200 people from their homes along the coast of James Bay.",0,0,1200,0,0,5/9/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,5/5/2008 12:00:00 AM,"Hay River NT, May 5-7, 2008. Ice jams in the Hay River forced water to rise over its banks, creating flood conditions for nearby residents. Approximately 600 people from Vale Island, situated at the mouth of Hay River and Great Slave Lake, fled from their homes as a voluntary evacuation order was issued May 5. Many homes and business were flooded and damaged from debris carried by the rising water. At the Katlodeeche First Nation reserve, floodwaters knocked out the old Anglican Church off its foundation as well as flooded the Roman Catholic Church.",0,0,600,460000,24189.3,5/7/2008 12:00:00 AM,460000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec City QC,4/28/2008 12:00:00 AM,"Quebec City QC, April 28 to May 2, 2008. Heavy rain combined with the spring thaw resulted in flooding and landslides in the Quebec City area. The heavy rain, which started on April 28, lasted until May 2 in some areas. Among the affected communities, Baie-Comeau received up to 120 mm of rain and Sept-Ilse received up to 78 mm of rain. Near Montreal, the Petite Nation River rose one metre, which flooded the surrounding areas. In total, flooding forced the evacuation of 230 people. In addition, landslides caused by the flooding threatened the safety of 60 residents who had to be evacuated as a precaution.",0,0,290,0,0,5/2/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Albany River ON,4/25/2008 12:00:00 AM,"Albany River ON, April 25, 2008. More than a dozen aircraft were poised to help evacuate nearly 1,900 residents of Kashechewan and Fort Albany, reserves in the coastal area of James Bay, some 450 kilometres north of Timmins.",0,0,1900,0,0,4/25/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Trent Hills ON,4/17/2008 12:00:00 AM,"Trent Hills ON, April 17, 2008. Over a period of 24 hours, water levels in the tri-lakes (Chemong, Buckhorn and Pigeon) increased 120 mm. The municipality of Trent Hills declared a state of emergency.",0,0,0,0,0,4/17/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Belleville ON,4/14/2008 12:00:00 AM,"Belleville ON, April 14, 2008. Water from the Moira River flooded dozens of homes and shut down roads in Belleville prompting a state of emergency to be declared. Approximately 50 homes were significantly flooded, including six homes (approximately 18 individuals) that were evacuated. Local wells were tainted with floodwater, which meant that residents could not drink from their wells.",0,0,18,0,0,4/14/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Paddockwood SK,4/14/2008 12:00:00 AM,"Paddockwood SK, April 14, 2008. The Rural Municipality of Paddockwood declared a state of emergency after floodwaters rose more than one metre. Floodwaters covered main access roads leaving approximately 400 people stranded in their homes. Two families were forced to leave their homes due to flooding. Water levels receded within a day, but the flooding caused damages to roads and residential homes.",0,0,6,0,0,4/14/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Port Bruce ON,2/18/2008 12:00:00 AM,"Port Bruce ON, February 18, 2008. The small community of Port Bruce, located at the mouth of Catfish Creek in Lake Erie east of Port Stanley, was flooded due to an ice jam that caused the creek to overflow. It was the second time in two weeks that Port Bruce experienced flooding from the creek. However, on February 18, the flooding was more severe as water levels rose knee-deep in some areas forcing approximately 100 families (300 individuals) to evacuate their homes and preventing many others from leaving.",0,0,300,0,0,2/18/2008 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince George BC,12/10/2007 12:00:00 AM,"Prince George BC, December 10, 2007. An ice jam in the Nechako River that, at one point, stretched as long as 33 kilometres, caused localized flooding. A state of emergency was declared.",0,0,20,7500000,403587.4,12/10/2007 12:00:00 AM,1600000,5900000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Terrace, Smithers & Mount Currie BC",6/5/2007 12:00:00 AM,"Terrace, Smithers & Mount Currie BC, June 5, 2007. About 125 homes have been evacuated and about 1,100 others are on evacuation alert alongside the swollen Skeena and Bulkley rivers near Terrace and Smithers.",0,0,375,9600000,516591.9,6/5/2007 12:00:00 AM,9600000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Red Earth First Nation SK,4/19/2007 12:00:00 AM,"Red Earth First Nation SK, April 19, 2007. The band council's decision to evacuate 691 residents from the northern reserve, mainly children, elderly residents and pregnant women, came as water covered one-third of a main access road, which divides the reserve.",0,0,691,125800000,6769506.7,4/19/2007 12:00:00 AM,125800000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Selkirk MB,4/3/2007 12:00:00 AM,"Selkirk MB, April 3-13, 2007. Ice buildup and bad weather caused the Red River to breach its banks flooding the city of Selkirk. A two kilometre ice jam caused water levels to raise 60 cm. The subsequent flooding resulted in sewage spilling into the river and the evacuation of the Kiwanis I and II condominium buildings where 100 seniors were evacuated. In addition, numerous basements were flooded as well as the Marine Museum of Manitoba.",0,0,120,0,0,4/13/2007 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Joseph et Vallée QC,10/28/2006 12:00:00 AM,"Saint-Joseph et Vallée QC, October 28, 2006. In Saint-Joseph and Vallée, approximately 50 homes and 30 businesses were affected by a flash flood. ",0,0,240,0,0,10/28/2006 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Aklavik NT,5/27/2006 12:00:00 AM,"Aklavik NT, May 27, 2006. The remote community of Aklavik was buried under several feet of water after the Peel River channel overflowed its banks due to melting ice. Residents of the low-lying town were forced to evacuate due to flooding. Approximately 300 residents left their homes and fled to the nearby town of Inuvik located 55 kilometres away. The flooding caused severe infrastructure damage, including damages to roads as well as the town’s sewage system.",0,0,300,3140829,172731.2,5/27/2006 12:00:00 AM,3140829,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Slocan River BC,5/20/2006 12:00:00 AM,"Slocan River BC, May 20, 2006. Residents living near the Slocan River were at risk as high water levels caused by melting snowpacks forced the river to overflow its banks. Local authorities issued an evacuation order for 53 homes in Passmore and Slocan Park (approximately 159 individuals) as well, 98 other homes that were put on evacuation alert. Damages included road closures and basement flooding.",0,0,159,0,0,5/20/2006 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Kashechewan ON,4/23/2006 12:00:00 AM,"Kashechewan ON, April 23, 2006. Spring flooding has forced hundreds of people to leave the northern Ontario reserve of Kashechewan. Kashechewan declared a state of emergency when water levels rose quickly and asked for immediate help from the province.",0,0,1100,0,0,4/23/2006 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Baie Verte Peninsula NL,4/17/2006 12:00:00 AM,"Baie Verte Peninsula NL, April 17, 2007.  A severe rainstorm caused flooding along Newfoundland and Labrador's Northeast coast.  A number of communities in the Baie Verte Peninsula region of the province, such as Burlington and Middle Arm, were affected.",0,0,0,3235813,177954.9,4/17/2006 12:00:00 AM,3235813,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Red Earth SK,4/13/2006 12:00:00 AM,"Red Earth SK, April, 13, 2006. In northeastern Saskatchewan, the Red River First Nation scrambled to avoid the threatening Carrot River as leaders ordered a general evacuation of the band of 1,100.",0,0,1100,7283952,400584,4/13/2006 12:00:00 AM,7283952,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Stephenville NL,9/27/2005 12:00:00 AM,"Stephenville NL, September 27, 2005.  The town of Stephenville received 110 mm of rain, causing flooding in the region.  More than 80 homes were flooded completely.  A state of emergency was declared and approximately 200 people were forced to leave their homes.  ",,,200,18461755,1035238.6,9/27/2005 12:00:00 AM,18461755,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,8/31/2005 12:00:00 AM,"Quebec, August 31, 2005.  The aftermath of Hurricane Katrina was felt in Quebec where heavy rain hit the Basse-Côte-Nord region. The region received 80 to 100 mm of rain. Over flown rivers and washed out culverts were seen in the towns of Vanier and Charlesbourg. These events led to flooding. August 31 was the wettest day that month for the Montreal's Pierre Elliott Trudeau Airport as well as the wettest August day for Quebec City.",,,,9567567,536499.1,8/31/2005 12:00:00 AM,9567567,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Cumberland House Cree First Nation SK,6/23/2005 12:00:00 AM,"Cumberland House, Cree First Nation SK, June 23, 2005.  Approximately 2000 residents of Cumberland House were evacuated to Prince Albert after the Saskatchewan River began flooding.  Saskatchewan Environment issued a boil water advisory for the residents. Movement of most ferries on the North and South Saskatchewan rivers was suspended.",0,,2000,3455208,193750,6/23/2005 12:00:00 AM,3455208,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,6/6/2005 12:00:00 AM,"Southern Alberta, June 6-8, 2005. Heavy rainfall and high water levels across southern Alberta caused massive flooding in several waterways.  Multiple municipalities across the region issued a state of emergency. Severe flooding caused the evacuation of 2000 people in Calgary, 1,300 in Sundre, 3,200 in Drumheller, 200 in High River, 70 in Foothills, 58 in Okotoks and 200 in Red Deer County.  Officials reported that the 200-year flood event resulted in significant damages to approximately 40,000 homes.",2,,7028,129049397,7236414.8,6/8/2005 12:00:00 AM,129049397,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Manitoba,6/2/2005 12:00:00 AM,"Manitoba, June 2, 2005. Manitoba received between 100-175 mm of rain resulting in severe flooding.  Regional municipalities of Daly, Sifton, Blanshard, Strathclair and Woodworth as well as the towns of Oak Lake and Rivers encountered major problems of seepage and basement flooding, damage to municipal roads and overland flooding of agricultural lands.  Forty-four provincial highways and over 100 municipal roads were damaged.  Approximately, 380 homes and 19 families (approximately 1,197 individuals) were forced out of their homes due to the flooding.  Thirteen municipalities declared a local state of emergency and more than 100 requested disaster financial assistance. The cost of the flood was estimated at more than $350 million including crop damage.",0,,1197,37032721,2076601.2,6/2/2005 12:00:00 AM,37032721,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Bridgewater NS,5/25/2005 12:00:00 AM,"Bridgewater NS, May 25-27, 2005. By May 27, a total of 383 mm of rain had fallen in Nova Scotia’s Fancy Lake watershed region causing overland flooding in a number of communities.  A local state of emergency was declared and approximately 100 people were evacuated.",0,0,100,1447904,81190.9,5/27/2005 12:00:00 AM,510004,937900,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Fort Good Hope NT,5/11/2005 12:00:00 AM,"Fort Good Hope NT, May 11-14, 2005. Jackfish Creek and Rabbitskin River rose to the point that 10 families and 8 seniors had to leave their Fort Good Hope homes. A state of emergency was declared.",0,,50,647617,36315,5/14/2005 12:00:00 AM,647617,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Kashechewan ON,4/23/2005 12:00:00 AM,"Kashechewan ON, April 23, 2005.  Nearly 200 people were flown out of the remote First Nations reserve in northern Ontario to Moosonee after flooding filled 39 basements with raw sewage.  Spring flooding on the Albany River caused the sewage system to back up and contaminated the community water system.",0,,200,0,0,4/23/2005 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern New Brunswick,4/9/2005 12:00:00 AM,"Southern New Brunswick, April 9 to May 15, 2005.  Several days of rain caused flooding in the communities of Jemseg, Sheffield, Maugerville and Fredicton and forced approximately 40 families (approximately 120 individuals) to evacuate their riverside homes.  Several families remained stranded in their homes as all roads were washed out. For many families the only way to leave their property was by canoe.  Due to high water levels, the highway between Fredericton and Saint John remained blocked for many days.",0,,120,2278201,127749.6,5/15/2005 12:00:00 AM,768644,1509557,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,The Pas MB,7/21/2004 12:00:00 AM,"The Pas MB, July 21, 2004.  Heavy rains on already saturated ground led to an overloading of  the town's joint sewage and storm drain system flooding homes in The Pas.  Approximately 400 homes in the town were damaged.  Dozens of people were reported sick  with intestinal and bronchial illnesses after attempting to clean-up after the flood.   The costs of the damages could reach as high as $5 million.",,,,0,0,7/21/2004 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Peterborough, Ontario",7/14/2004 12:00:00 AM,"On July 14, a large rain storm settled in near Peterborough, ON. In the early hours of July 15, over 235 mm of rain fell – which was typically a summer's worth of rain in the region. It was one of the wettest days in Ontario's history, and the rain continued for the next 5 days. There was extensive flooding in Peterborough; most of the downtown area and a third of the city was flooded under a metre of water. The wastewater system was at 5 times the capacity leading to backed up sewers. A State of Emergency was declared and in effect for 15 days. Clean-up efforts took months, while some of the city’s infrastructure needed to be rebuilt. The Province of Ontario provided $25 million for emergency repair and restoration of municipal infrastructure, the insured losses were over $83 million (CAD 2004).",0,0,,,,7/19/2004 12:00:00 AM,,,,,,88000000,,,0
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat ON,5/19/2004 12:00:00 AM,"Attawapiskat ON, May 19, 2004.  Due to ice-jam flooding in the Attawapiskat River, approximately 1,700 people from the  James Bay Cree First Nation community of Attawapiskat were evacuated by air to Moosonee, Cochrane and Timmins.  ",,,1700,5700000,326647.6,5/19/2004 12:00:00 AM,5700000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,South Central Manitoba,3/24/2004 12:00:00 AM,"South Central Manitoba, March 24-26, 2004. A combination of spring runoff and heavy rainfall brought flooding to Manitoba's South-Central region. Some affected communities include: Pembina, Morris, Winnipeg, Selkirk and Lac du Bonnet. States of emergency were declared in the rural municipalities of Franklin, Tache and St. Clements. Twenty-one people were evacuated from the Dakota Plains and Peguis First Nations. More than 1000 were evacuated when the Red River overflowed.",,,1000,2302473,131946.9,3/26/2004 12:00:00 AM,565937,1736536,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Vancouver Island and Southwestern British Columbia,10/16/2003 12:00:00 AM,"Vancouver Island and Southwestern British Columbia, October 16-23, 2003. Heavy rains resulted in major flooding, particularly to Squamish and Pemberton where states of emergency were declared. Flooding in the Squamish Valley, Cheakamus Valley, and Paradise Valley resulted in the evacuation of 700 people from those areas. Another 50 people were evacuated from the Vancouver Island region. Two vehicles were swept into Rutherford Creek north of Whistler. One passenger survived, while two died.",2,1,750,8958966,522896.8,10/23/2003 12:00:00 AM,8958966,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"The Bois-Francs, Chaudière-Appalaches, Beauce, l'Outaouais, Lanaudière, and Abitibi-Témiscamingue regions QC",8/4/2003 12:00:00 AM,"The Bois-Francs, Chaudière-Appalaches, Beauce, l'Outaouais, Lanaudière, and Abitibi-Témiscamingue regions QC, August 4, 2003",0,0,60,,,8/4/2003 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Oxford and Truro NS,3/31/2003 12:00:00 AM,"Oxford and Truro NS, March 31, 2003. Heavy rains and snowmelt caused flooding in communities on the Atlantic coast. States of emergency were declared in the towns of Oxford and Truro NS where 150 and 120 people respectively were evacuated from their homes. Two people died as there car was swept off the road by flood waters in Pinehurst. Nova Scotia's Transportation Department has reported that the flooding has destroyed or damaged 47 bridges and has affected 200 roads. See Prince Edward Island and Newfoundland entries for more information on this event.",2,3,270,25485948,1487506.7,3/31/2003 12:00:00 AM,21065353,4420595,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,West Coast of Newfoundland,3/31/2003 12:00:00 AM,"West Coast of Newfoundland, March 31, 2003. Western Newfoundland experienced flooding as a result of both heavy rain and mild temperatures. Some of the communities affected include: Codroy Valley, Cox's Cove, and Corner Brook. These communities faced washed out roads as well as damaged water and sewage systems. A landslide on the Trans-Canada Highway restricted access between Gallants and George's Lake. See Nova Scotia and Prince Edward Island entries for more information on this event.",0,,,6934707,404749.4,3/31/2003 12:00:00 AM,6934707,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince Edward Island,3/31/2003 12:00:00 AM,"Prince Edward Island, March 31, 2003.  The province was subjected to a severe rainstorm causing flooding and resulting in damage to both private and public property.",0,0,0,2381905,139021.7,3/31/2003 12:00:00 AM,1869114,512791,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Badger NL,2/15/2003 12:00:00 AM,"The entire town of Badger, NL was evacuated when the three rivers Badger-Exploits, Red Indian and Badger overflowed their banks due to ice jamming. The town's water supply was contaminated after the sewer system failed.  Power supply was cut off to all flooded homes.  Approximately 200 homes were affected by the flooding.  The Canadian Red Cross, local officials, the RCMP and the Emergency Measures Organization were cooperating to find shelter for approximately 80 families.",,,1100,4681553,273242.4,2/15/2003 12:00:00 AM,4681553,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,6/11/2002 12:00:00 AM,"Southern AB, June 11, 2002.  Approximately 280 mm of rain fell on the area within a few days.  The heavy rain and the unusually late spring runoff caused mudslides and forced sewage into river systems, and power lines were damaged in Waterton Lake National Park.  A local state of emergency was declared for the areas of: Pincher Creek, County of Warner, Village of Sterling, Village of Warner, Village of Foremost, and the Town of Coaldale.  Two hundred residents from the Blood First Nation and 150 residents from the Peigan First Nation were evacuated.",0,0,350,16054182,963250.9,6/11/2002 12:00:00 AM,8834091,7220091,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southeast MB,6/11/2002 12:00:00 AM,"Southeast MB, June 11, 2002. Ten communities declared a state of emergency following severe flooding of homes and roads. About 240 mm of rain fell, causing the worst flooding southeast Manitoba had seen in 45 years. Levels of the Roseau River declined for a few days; however, additional flooding was expected the following week given the record water levels in the American portion of the river and the expected crest in southeast Manitoba. Residents and flood workers built dikes and laid sandbags as a preventative measure in the event of further flooding. Several roads were closed and some of these washed out or were covered with water. Crops were severely damaged because fields were submerged under water, and homes were inundated.",0,0,150,10376248,622574.9,6/11/2002 12:00:00 AM,3552493,2954305,2094671,1766793,,,7986,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls, ON",6/9/2002 12:00:00 AM,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls ON, June 9-11, 2002.  Parts of northwestern Ontario were declared disaster areas because of severe flooding. Roads and highways were washed out and closed, power and telecommunication lines were disrupted, and private properties were greatly damaged.",0,0,0,6975854,418551.2,6/9/2002 12:00:00 AM,,,6975854,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,British Columbia,5/20/2002 12:00:00 AM,"British Columbia, May 2002.  High snow-pack levels, rapid melting and heavy rainfall caused severe runoff and flooding in areas of B.C. except Vancouver Island and the Central Coast. The spring freshet caused significant damage to private properties, public transportation corridors, and recreation facilities.",,,,0,0,5/20/2002 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat First Nation ON,5/1/2002 12:00:00 AM,"Attawapiskat FN, ON, May 2002. Approximately 1200 people were evacuated to Moosonee and Timmins following the flooding of the Attawapiskat River. A municipal state of emergency was declared.",0,0,1200,0,0,5/1/2002 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northeast and Central British Columbia,7/1/2001 12:00:00 AM,"Northeast and Central British Columbia, July 2001.  A severe five-day rainstorm caused flood damage to 100 homes and to critical infrastructure.  More than 200 mm of rain fell.  Roads and bridges were washed out, businesses and public and private properties were damaged, two trains derailed, and people were temporarily stranded.",0,0,,9323887,572017.6,7/1/2001 12:00:00 AM,2622744,6701143,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River area BC,6/1/2001 12:00:00 AM,"Peace River area BC, June 2001.  The region was subjected to many intense precipitation events.  Increased tributary levels combined with the spring freshet caused the over-saturation of the soil and surface runoff.  This in turn triggered several landslides that cut-off highways.  Property and infrastructure damage was extensive. Pink Mountain and Halfway River were both affected.",,,,20942391,1284809.3,6/1/2001 12:00:00 AM,10691352,10251039,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Manitoba,4/1/2001 12:00:00 AM,"Southern Manitoba, April 2001.  Southern Manitoba suffered significant losses during spring flooding.  Highway infrastructures, businesses and private and public properties were extensively damaged.",,,,16710626,1025191.8,4/1/2001 12:00:00 AM,7045162,3107992,768943,5788529,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sydney NS,11/2/2000 12:00:00 AM,"Sydney NS, November 2-11, 2000.  Heavy rains hit Cape Breton and Victoria County for nearly ten days, causing flooding and damages to homes and businesses.  Almost 100 millimetres of rain fell in a 24-hour period, flooding streets and forcing the evacuation of 200 families.  One woman was trapped in her car and suffered injuries when a massive culvert collapsed due water pressure.  A boil order was in effect for a week for 1,000 residents in Donkin and at least 2 weeks for the 30,000 residents of Glace Bay, Reserve Mines and Dominion.",0,1,800,5627843,353952.4,11/11/2000 12:00:00 AM,449218,1389625,1939000,1850000,,,,0,0
